epoch,train_loss,train_error,val_loss,val_error,val_psnr,val_ssim,epoch_time
0,519.2014200047084,518.046379372733,79.04043064117431,78.86837446212769,29.431441401376564,0.7628996945525255,362.0027693260927
1,294.3509512765067,293.7348390197754,76.80853704452515,76.66395427703857,29.61646102103053,0.80336831490839,377.39728746400215
2,263.2409461539132,262.68892768859865,70.45577659606934,70.29507581710816,29.918269889766943,0.8097743887954033,360.92363480012864
3,240.26569893973215,239.7665147617885,64.01285554885864,63.86627607345581,30.354042621686272,0.815076163497028,360.634276533965
4,235.74375651768275,235.26593960353307,60.67215558052063,60.53265741348267,30.660552536070636,0.8226592219549314,361.25590904802084
5,227.53398856026786,227.07300360543388,65.10274471282959,64.95835386276245,30.287160277197053,0.8134447961168325,360.35244581801817
6,216.28660974775042,215.8558971623012,67.08099672317505,66.92044664382935,30.23085296576767,0.8143249861276297,361.34153664903715
7,213.03791045052665,212.61483125959123,58.84580245971679,58.70754205703735,30.735044647737773,0.822031019155916,361.21522991685197
8,204.7582055228097,204.35258620125907,67.55607760429382,67.43069440841674,30.304724061155376,0.8279186333442554,361.4613885260187
9,202.9428822871617,202.54477632795061,71.29633696556091,71.15787007331848,29.996205531720854,0.8218941696950515,360.86108000786044
10,204.17194875444684,203.7748372541155,62.81231061935425,62.668872880935666,30.426828490478826,0.8177190255157065,360.9929289461579
11,196.36439709254674,195.9855184827532,64.67378483772278,64.53487417221069,30.282580710576568,0.8166556422780512,360.9188279181253
12,197.05203320094517,196.66822430201938,61.34421285629273,61.21144546508789,30.56690449366187,0.8218012445636709,362.038271865109
13,189.45057013375418,189.08400500706264,59.940950860977175,59.79290672302246,30.63791815108428,0.8211531516183799,360.829509785166
14,185.7847228894915,185.43124849591936,63.61796726226807,63.48073699951172,30.417409262634006,0.815662909916383,359.9651730870828
15,168.6595696422032,168.33918793269567,62.131347579956056,62.00053076744079,30.488221164028595,0.8209750888489452,360.2323347139172
16,164.9011526162284,164.5913838686262,62.9007911491394,62.76764744758606,30.41471161006908,0.819904752598126,360.13994549494237
17,163.2916291645595,162.9885229219709,61.29314977645874,61.16235682487488,30.564830721734516,0.8216948247597375,360.4530992601067
18,162.1378127179827,161.8351204899379,62.53580881118774,62.404832172393796,30.446521086616176,0.8215121486294072,360.48372607002966
